rep,N,alpha,m0_target,m0_realized,z_init,tau_z,m_final,m_other_max,r_active,r_z,t_final,converged,closed_frac,time_since_last_switch,m_ungated,r_ungated,ungated_converged,t_ungated
0,1000,0.1,0.5,0.4999999701976776,random,0.1000000014901161,0.8005850315093994,0.0831547006964683,1.2437977525839955e-06,5.8228096122547874e-08,61.0000000000006,1.0,0.514,50.800000000000615,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,random,0.3000000119209289,0.8173142671585083,0.0881872400641441,1.1749179898271648e-06,1.1569412805556568e-07,54.0000000000005,1.0,0.504,50.10000000000049,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,random,1.0,0.8366346955299377,0.0972202122211456,1.203982472601691e-06,4.320816913150338e-07,61.0000000000006,1.0,0.52,50.10000000000062,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,random,3.0,0.8532491326332092,0.1002521067857742,1.1976829334728922e-06,1.354440996692574e-06,84.99999999999945,1.0,0.504,50.499999999999226,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,random,10.0,0.8524823188781738,0.093701995909214,1.158644775467908e-06,2.1256550098769367e-05,151.99999999999565,1.0,0.502,50.39999999999715,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,random,30.0,0.8468003869056702,0.0894638746976852,1.1226494294149586e-06,0.0005446057766675,266.9999999999922,1.0,0.504,50.40000000000023,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,random,100.0,0.8448668718338013,0.0921241119503974,1.2964507599976246e-06,0.0019643648993223,743.0000000001004,1.0,0.511,50.30000000001144,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,random,300.0,0.8452715277671814,0.0921153575181961,1.40705385623778e-06,0.0019964904058724,2225.999999999071,1.0,0.511,262.1999999997616,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,all_open,0.1000000014901161,0.8445031642913818,0.0903810709714889,1.3265562088216653e-06,5.7604701453328744e-08,56.000000000000526,1.0,0.498,50.20000000000053,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,all_open,0.3000000119209289,0.9109290242195128,0.0979893803596496,1.3260460501364242e-06,1.250216286052819e-07,61.0000000000006,1.0,0.513,50.30000000000062,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,all_open,1.0,0.972871482372284,0.0934971123933792,1.4389531784890308e-06,4.805425533049856e-07,58.00000000000056,1.0,0.508,50.10000000000056,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,all_open,3.0,0.9863793849945068,0.0940465554594993,1.4597251270206352e-06,1.5344320445365156e-06,70.0000000000003,1.0,0.505,50.20000000000029,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,all_open,10.0,0.9881538152694702,0.0938707515597343,1.4505696963509513e-06,1.5121308933885302e-05,114.99999999999774,1.0,0.508,50.399999999997135,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
