alpha,m0_target,z_init,tau_z,m_mean,m_ci_low,m_ci_high,count,converged_fraction,median_r_active,median_r_z,max_t_final
0.1,0.8999999761581421,random,1.0,0.9685845896601677,0.9665757803246379,0.9706010520458221,8,1.0,1.3881994570204859e-06,4.735219931717438e-07,67.00000000000047
0.1,0.8999999761581421,random,3.0,0.9699100255966187,0.9680482894182205,0.9717624336481094,8,1.0,1.3589358268032417e-06,1.4887606312186108e-06,102.99999999999842
0.1,0.8999999761581421,random,10.0,0.9705292657017708,0.9687072714790702,0.9722217947244645,8,1.0,1.3683380124402305e-06,1.7371373360219877e-05,167.99999999999474
0.1,0.8999999761581421,random,30.0,0.9701915085315704,0.968186616897583,0.972210249118507,8,1.0,1.35073278205533e-06,0.00045078997209199994,424.0000000000279
0.1,0.8999999761581421,random,100.0,0.9701175391674042,0.9680495111271739,0.9721015620976686,8,1.0,1.4366169888643054e-06,0.00177511601941655,1128.0000000000696
0.1,0.8999999761581421,random,300.0,0.9701181501150131,0.968059922941029,0.9721403706818819,8,1.0,1.6667427719486942e-06,0.00199866073671725,3325.9999999980705
0.2,0.5,all_open,0.1000000014901161,0.6892203316092491,0.6580278128385544,0.7225666590034961,8,1.0,1.175532401672e-05,7.228990455132589e-07,140.99999999999628
0.2,0.5,all_open,0.3000000119209289,0.7330749481916428,0.7037901684641839,0.7638427590951323,8,1.0,8.701754168465276e-06,1.165551168469392e-06,238.9999999999907
0.2,0.5,all_open,1.0,0.7735234647989273,0.7420846149325371,0.8049640286713838,8,1.0,5.091164985457363e-06,2.0810502405765874e-06,214.99999999999207
0.2,0.5,all_open,3.0,0.7311292663216591,0.7003739550709724,0.7663842735812068,8,1.0,2.561904230094691e-06,3.584165142456186e-06,308.00000000000153
0.2,0.5,all_open,10.0,0.612214207649231,0.5701891258358955,0.6496647983789444,8,1.0,1.541718592832467e-06,3.352617204654962e-05,495.00000000004405
0.2,0.5,all_open,30.0,0.45774709060788155,0.4179629199206829,0.4914979189634323,8,1.0,1.0932791201076825e-06,0.00066948489984495,272.9999999999936
0.2,0.5,all_open,100.0,0.302642036229372,0.274025687482208,0.3281601667404175,8,1.0,1.1598884378836883e-06,0.0019830785458907,720.0000000000952
0.2,0.5,all_open,300.0,0.2294032983481884,0.18508879812434317,0.27614661869592966,8,1.0,1.3835010489317574e-06,0.00199564429931335,2008.9999999992683
0.2,0.5,random,0.1000000014901161,0.6405916288495064,0.6120014330372214,0.6695638243108988,8,1.0,6.02594006924984e-06,3.706372808665037e-07,225.99999999999145
0.2,0.5,random,0.3000000119209289,0.6603046208620071,0.6407420923933387,0.6819664910435677,8,1.0,2.1224097966641083e-06,2.756197261533089e-07,274.99999999999403
0.2,0.5,random,1.0,0.6752051785588264,0.6521006524562836,0.6994273662567139,8,1.0,3.484497599042285e-06,1.3880112987862958e-06,359.0000000000132
0.2,0.5,random,3.0,0.659958504140377,0.6331588998436928,0.6867445483803749,8,1.0,3.2580479697229683e-06,4.307932499614253e-06,376.000000000017
0.2,0.5,random,10.0,0.6351893395185471,0.596500770561397,0.6702743630856276,8,1.0,1.41533858889912e-05,0.00011656127389867391,404.00000000002336
0.2,0.5,random,30.0,0.6056106239557266,0.5635968808084726,0.6477829141542315,8,1.0,1.0631978711557578e-06,0.00099223505822005,663.0000000000822
0.2,0.5,random,100.0,0.5589830279350281,0.5279524996876717,0.5903724573552609,8,1.0,9.050920711093049e-07,0.0019916933961212,1899.999999999368
0.2,0.5,random,300.0,0.5473455898463726,0.5028763032518327,0.5884832188487052,8,1.0,1.2341319710378956e-06,0.0019955910975113,3706.999999997724
0.2,0.699999988079071,all_open,0.1000000014901161,0.8050941973924637,0.7773839216679335,0.8336706906557083,8,1.0,5.002345128150807e-06,3.19224099598614e-07,231.9999999999911
0.2,0.699999988079071,all_open,0.3000000119209289,0.8414998278021812,0.8178694814443588,0.8654124051332474,8,1.0,5.4176093348845444e-06,7.111237323442765e-07,180.999999999994
0.2,0.699999988079071,all_open,1.0,0.8583030551671982,0.8393176758661867,0.8784062340855598,8,1.0,3.3655196711884328e-06,1.377275935965372e-06,179.99999999999406
0.2,0.699999988079071,all_open,3.0,0.8334290832281113,0.804768874682486,0.8623676151037216,8,1.0,4.798206134990934e-06,7.136369958971045e-06,199.99999999999287
0.2,0.699999988079071,all_open,10.0,0.676001064479351,0.6497495371848345,0.7045990085229278,8,1.0,1.5843805858244364e-06,2.2969154997554145e-05,283.9999999999961
0.2,0.699999988079071,all_open,30.0,0.48056650534272194,0.43941134614869953,0.5159554514102638,8,1.0,1.1577406373159237e-06,0.00091803973191415,306.0000000000011
0.2,0.699999988079071,all_open,100.0,0.3053651135414839,0.27624008283019064,0.32932257652282715,8,1.0,1.1070241202195147e-06,0.0019858320010825497,686.0000000000874
0.2,0.699999988079071,all_open,300.0,0.24687700346112249,0.20500633432529863,0.2914437670260668,8,1.0,1.0811139619630987e-06,0.0019975784234702,2002.999999999273
0.2,0.699999988079071,random,0.1000000014901161,0.7752253785729408,0.7477449616417289,0.801504835486412,8,1.0,1.1655200654277465e-06,9.003277412489297e-08,152.9999999999956
0.2,0.699999988079071,random,0.3000000119209289,0.7935951873660088,0.7697402983903885,0.8156503438949585,8,1.0,6.621082296785464e-06,9.137478826914958e-07,270.9999999999931
0.2,0.699999988079071,random,1.0,0.8108815401792526,0.7899688648059964,0.830627553164959,8,1.0,1.4499230397406008e-06,5.78316246446775e-07,171.99999999999451
0.2,0.699999988079071,random,3.0,0.8126805499196053,0.7949062660336494,0.8286901786923409,8,1.0,2.5485319557796e-06,3.6257901001590653e-06,233.999999999991
0.2,0.699999988079071,random,10.0,0.7798516899347305,0.7606080695986748,0.7990170121192932,8,1.0,2.1126052729832824e-06,2.154908816009993e-05,328.0000000000061
0.2,0.699999988079071,random,30.0,0.7297243550419807,0.6873830141499638,0.7677086219191551,8,1.0,1.2932820136107483e-06,0.00047859303595025,775.0000000001077
0.2,0.699999988079071,random,100.0,0.7244956791400909,0.687626970000565,0.7596878612414002,8,1.0,9.050857289529319e-07,0.0019823440816253,1653.9999999995912
0.2,0.699999988079071,random,300.0,0.7111710235476494,0.6702125765383243,0.7496719308197498,8,1.0,1.2077777986087857e-06,0.0019945710664614497,4353.999999998308
0.2,0.8999999761581421,all_open,0.1000000014901161,0.9113488867878914,0.8887902863323689,0.9289408475160599,8,1.0,1.6224507397413095e-06,1.0279746476271613e-07,147.99999999999588
0.2,0.8999999761581421,all_open,0.3000000119209289,0.918512761592865,0.8963291857391595,0.9373160600662231,8,1.0,1.42125865997133e-06,1.6179349415779143e-07,148.99999999999582
0.2,0.8999999761581421,all_open,1.0,0.9155172035098076,0.8948285132646561,0.93660918623209,8,1.0,4.996147521142579e-06,2.042556076276014e-06,226.9999999999914
